Saved changes,Selected all topics,Logged in through login-screen,Viewed content,Viewed feed/topic,Redirecting to media,Viewed notification,Viewed feedItem,Navigating to feed overview,Viewed feed/findOne,Viewed content/all,Viewed space,Logged in,Viewed /auth/login Page,UTM events,Viewed link,Navigating to content overview,Viewed notifications,Opened intercom,Created content,Opened drop down menu for feed item,Viewed feed/all,Viewed /auth/register Page,Viewed content/topic,Selected topic,Created comment,Uploaded file,Downloaded file,Logged out
,,,,0,,,,,,9,,0,,,,,,,,,0,,1,,,,,
,,,,0,,,,,,121,,5,,,,,,,,,0,,28,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,94,,,,,
,,,,0,,,,,,44,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,7,,,,,
,,,,0,,,,,,154,,0,,,,,,,,,0,,1,,,,,
,,,,0,,,,,,7,,0,,,,,,,,,0,,6,,,,,
,,,,0,,,,,,33,,0,,,,,,,,,0,,1,,,,,
,,,,0,,,,,,257,,0,,,,,,,,,0,,2,,,,,
,,,,0,,,,,,3,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,7,,-1,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,7,,0,,,,,,,,,0,,217,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,21,,,,,
,,,,0,,,,,,70,,0,,,,,,,,,0,,4,,,,,
,,,,0,,,,,,2,,0,,,,,,,,,0,,6,,,,,
,,,,0,,,,,,190,,2,,,,,,,,,0,,6,,,,,
,,,,0,,,,,,5,,0,,,,,,,,,0,,102,,,,,
,,,,0,,,,,,9,,0,,,,,,,,,0,,42,,,,,
,,,,0,,,,,,69,,0,,,,,,,,,0,,26,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,10,,58,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,5,,,,,
,,,,0,,,,,,6,,-1,,,,,,,,,0,,42,,,,,
,,,,0,,,,,,214,,0,,,,,,,,,0,,37,,,,,
,,,,0,,,,,,1143,,0,,,,,,,,,0,,112,,,,,
,,,,0,,,,,,89,,0,,,,,,,,,0,,61,,,,,
,,,,0,,,,,,14,,0,,,,,,,,,0,,18,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,60,,,,,
,,,,0,,,,,,75,,0,,,,,,,,,0,,41,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,859,,,,,
,,,,0,,,,,,189,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,78,,,,,
,,,,0,,,,,,18,,0,,,,,,,,,0,,41,,,,,
,,,,0,,,,,,15,,0,,,,,,,,,0,,1,,,,,
