space_1,distinct_id,2,3,4,5,6,7,week_login_total
MRK3480 Forbrukeratferd,5698da5f2fb0de2600f22ac2,0,6,4,1,0,0,11
MRK3480 Forbrukeratferd,5698da4e41a9d72100240709,1,1,4,2,3,0,11
MRK3480 Forbrukeratferd,5698da6741a9d72100240904,1,4,5,0,2,0,12
MRK3480 Forbrukeratferd,5698da492fb0de2600f229a6,0,3,4,5,0,0,12
MRK3480 Forbrukeratferd,5698da7341a9d72100240999,1,5,5,0,1,0,12
MRK3480 Forbrukeratferd,5698da4f2fb0de2600f229f7,0,5,3,3,1,0,12
MRK3480 Forbrukeratferd,5698da4e41a9d72100240707,1,3,6,2,0,0,12
MRK3480 Forbrukeratferd,5698da452fb0de2600f22978,1,2,4,2,3,0,12
MRK3480 Forbrukeratferd,5698da742fb0de2600f22bbe,2,1,3,3,3,0,12
MRK3480 Forbrukeratferd,5698da5841a9d72100240779,0,5,4,1,2,0,12
MRK3480 Forbrukeratferd,5698da7741a9d721002409c6,0,2,0,3,7,0,12
MRK3480 Forbrukeratferd,5698da6341a9d721002408d0,1,2,2,2,5,0,12
MRK3480 Forbrukeratferd,5698da7041a9d72100240972,1,3,7,2,0,0,13
MRK3480 Forbrukeratferd,5698da5841a9d72100240776,0,2,4,2,5,0,13
MRK3480 Forbrukeratferd,5698da7541a9d721002409a0,0,1,4,6,2,0,13
MRK3480 Forbrukeratferd,5698da5c41a9d721002407a7,0,5,5,2,1,0,13
MRK3480 Forbrukeratferd,5698da4941a9d721002406c3,6,3,3,1,0,0,13
MRK3480 Forbrukeratferd,5698da6341a9d721002408cd,0,2,5,3,3,0,13
MRK3480 Forbrukeratferd,5698da542fb0de2600f22a3c,2,4,2,3,2,0,13
MRK3480 Forbrukeratferd,5698da4941a9d721002406c2,3,3,1,1,5,0,13
MRK3480 Forbrukeratferd,5698da5b2fb0de2600f22a88,3,2,3,3,2,0,13
MRK3480 Forbrukeratferd,5698da6441a9d721002408e4,0,4,6,1,2,0,13
MRK3480 Forbrukeratferd,5698da6b2fb0de2600f22b4d,1,8,3,2,0,0,14
MRK3480 Forbrukeratferd,5698da5e41a9d721002407cb,2,2,7,1,2,0,14
MRK3480 Forbrukeratferd,5698da4f41a9d7210024070f,0,2,3,6,3,0,14
MRK3480 Forbrukeratferd,5698da7a41a9d721002409ea,0,3,6,2,3,0,14
MRK3480 Forbrukeratferd,5698da642fb0de2600f22af5,0,6,8,1,0,0,15
MRK3480 Forbrukeratferd,5698da4c41a9d721002406ec,3,4,5,1,2,0,15
MRK3480 Forbrukeratferd,5698da5e2fb0de2600f22aa3,1,6,7,0,1,0,15
MRK3480 Forbrukeratferd,5698da6e2fb0de2600f22b71,7,2,3,3,0,0,15
MRK3480 Forbrukeratferd,5698da542fb0de2600f22a3d,2,3,3,7,1,0,16
MRK3480 Forbrukeratferd,5698da6341a9d721002408db,2,5,6,2,1,0,16
MRK3480 Forbrukeratferd,5698da612fb0de2600f22acd,2,5,3,3,3,0,16
MRK3480 Forbrukeratferd,5698da5241a9d72100240733,0,7,5,0,4,0,16
MRK3480 Forbrukeratferd,5698da6e2fb0de2600f22b74,2,4,4,3,3,0,16
MRK3480 Forbrukeratferd,5698da4541a9d72100240693,3,5,4,1,3,0,16
MRK3480 Forbrukeratferd,5698da7a41a9d721002409e7,0,8,1,4,3,0,16
MRK3480 Forbrukeratferd,5698da682fb0de2600f22b24,0,4,7,0,6,0,17
MRK3480 Forbrukeratferd,5698da6b2fb0de2600f22b4c,0,3,9,1,4,0,17
MRK3480 Forbrukeratferd,5698da7b41a9d721002409f6,1,9,3,4,0,0,17
MRK3480 Forbrukeratferd,5698da522fb0de2600f22a1d,1,9,4,3,0,0,17
MRK3480 Forbrukeratferd,5698da4c2fb0de2600f229cb,0,8,4,2,3,0,17
MRK3480 Forbrukeratferd,5698da6641a9d721002408fb,0,3,4,3,7,0,17
MRK3480 Forbrukeratferd,5698da4f2fb0de2600f229fa,3,4,4,4,3,0,18
MRK3480 Forbrukeratferd,5698da6541a9d721002408fa,2,5,4,4,3,0,18
MRK3480 Forbrukeratferd,5698da5541a9d7210024075a,0,11,3,3,2,0,19
MRK3480 Forbrukeratferd,5698da7741a9d721002409c3,0,6,6,3,4,0,19
MRK3480 Forbrukeratferd,5698da4541a9d72100240691,1,10,4,2,2,0,19
